"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso_state_interactions","1se",1,2017,"coc_birth_rate_per_1000:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_death_rate_per_1000:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_international_migration_rate_per_1000:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_domestic_migration_rate_per_1000:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_group_quarters_per_1000_residents:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_population_growth_rate_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_supply_growth_rate_pct:FL",0.0285290167447723,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_poverty_all_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_poverty_child_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_median_household_income_2025_usd:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_per_capita_personal_income_2025_usd:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_unemployment_rate_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_high_school_graduate_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_homeownership_rate_pct:FL",1.16512697552563,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_cost_burdened_households_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_income_inequality_ratio:FL",-0.317405384029156,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_annual_hpi_change_pct:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_gdp_per_capita_2017_usd:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_real_minimum_wage_2025_usd:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_medicaid_expansion:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_hic_temporary_beds_per_10k:FL",-3.30249078605753,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_hic_psh_beds_per_10k:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_homeless_funding_per_capita:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_anticamping_strictness:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_tanf_max_benefit_3person:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_ssi_state_supplement:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_labor_force_participation:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_substance_use_disorder_rate:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_serious_mental_illness_rate:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_uninsured_rate:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_average_student_debt_per_borrower:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_avg_in_state_tuition:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_pct_age_18_24:FL",0,0.927144513439603
