"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso","1se","coc_housing_cost_burdened_households_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_housing_supply_growth_rate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_housing_units_per_1000_residents","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_income_inequality_ratio","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_international_migration_rate_per_1000","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_multifamily_permit_share_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_permits_per_1000_housing_units","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_permits_value_per_1000_housing_units_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_population_density_per_sq_mile","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_poverty_all_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_poverty_child_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_real_gdp_per_capita_2017_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_real_gdp_quantity_index","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_real_median_household_income_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_real_per_capita_personal_income_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_relative_home_price_index_2000_base","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","coc_unemployment_rate_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_anticamping_strictness","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_labor_force_participation_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_medicaid_expansion","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_real_median_rent_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_real_minimum_wage_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_rental_vacancy_rate","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_ssi_state_supplement","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","1se","state_tanf_max_benefit_3person","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso","min","coc_hic_psh_beds_per_10k","penalized_predictor",8,8,1,12.4940918842762,2.9685968211775,12.4940918842762,8,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_log_estimated_population","penalized_predictor",8,8,1,-7.40360191158945,1.1935603734181,-7.40360191158945,0,8,1,"negative"
"S0_primary","pooled_lasso","min","coc_hic_temporary_beds_per_10k","penalized_predictor",8,8,1,5.29971941347036,1.47312563242575,5.29971941347036,8,0,1,"positive"
"S0_primary","pooled_lasso","min","control_state_florida","unpenalized_control",8,8,1,-4.70473149466939,5.43974598542329,-4.70473149466939,3,5,0.625,"negative"
"S0_primary","pooled_lasso","min","coc_population_density_per_sq_mile","penalized_predictor",8,8,1,-3.69230931107453,1.34140179255317,-3.69230931107453,0,8,1,"negative"
"S0_primary","pooled_lasso","min","control_time_index","unpenalized_control",8,8,1,-1.0987627673661,1.03290212549547,-1.0987627673661,0,8,1,"negative"
"S0_primary","pooled_lasso","min","coc_annual_hpi_change_pct","penalized_predictor",8,8,1,-0.828508851340082,0.376822733670438,-0.828508851340082,0,8,1,"negative"
"S0_primary","pooled_lasso","min","coc_population_growth_rate_pct","penalized_predictor",8,8,1,-0.685667612862749,0.309405631880615,-0.685667612862749,0,8,1,"negative"
"S0_primary","pooled_lasso","min","coc_housing_cost_burdened_households_pct","penalized_predictor",8,7,0.875,2.60470081931234,1.61300911939314,2.97680093635696,7,0,1,"positive"
"S0_primary","pooled_lasso","min","coc_international_migration_rate_per_1000","penalized_predictor",8,7,0.875,-1.76189471597851,1.1492845063842,-2.0135939611183,0,7,1,"negative"
"S0_primary","pooled_lasso","min","coc_contributing_counties","penalized_predictor",8,6,0.75,-0.332682604989063,0.272590997643739,-0.443576806652084,0,6,1,"negative"
"S0_primary","pooled_lasso","min","coc_income_inequality_ratio","penalized_predictor",8,5,0.625,-0.991963735047676,1.11894625549082,-1.58714197607628,0,5,1,"negative"
"S0_primary","pooled_lasso","min","coc_housing_units_per_1000_residents","penalized_predictor",8,5,0.625,0.637805716446858,0.573122668695538,1.02048914631497,5,0,1,"positive"
